clone.id	gene.name	unigene.id	genbank.acc
2308481	RAD53	Hs.146329	AI653182
200302		NA	NA
770670	TNFAIP3	Hs.211600	AA433807
52435		Hs.26979	H23469
281145	AOC2	Hs.143102	N50959
134120		Hs.24064	R30941
788574		NA	NA
41132		Hs.124169	R58970
415388	ACYP1	Hs.18573	W78754
452818	SIL	Hs.323032	AA704809
359285		NA	NA
281031		Hs.321022	N50895
489495	KIAA1067	Hs.325530	AA099138
713127	SMC4L1	Hs.50758	AA283006
155064		Hs.29074	R70174
795877	SNK	Hs.3838	AA460152
770424	FANCG	Hs.8047	AA427484
309983		Hs.102941	N95440
279392		Hs.36606	N48700
178255		NA	NA
47665	C1ORF2	Hs.19554	H11464
50288	HTF9C	Hs.63609	H17888
949971	ATF4	Hs.181243	AA600217
665082		Hs.101014	AA194941
1541659	CDC25A	Hs.1634	AA913262
1629113	TOPK	Hs.104741	AI002631
1841916	ASIP	Hs.37006	AI220203
30114	DKFZP564F013	Hs.128653	R14908
293884	ZNF265	Hs.194718	N66014
627226	SLC30A1	Hs.55610	AA195463
139689		Hs.28462	R63922
132835		Hs.114055	R27431
310406	IL6	Hs.93913	N98591
950574	H3F3B	Hs.180877	AA608514
347740		Hs.81263	W81524
743230		Hs.240443	AA400234
149013	AMD1	Hs.262476	R82299
782712	MAP3K2	Hs.28827	AA447971
131867	NET1	Hs.25155	R24543
450711	CHAF1A	Hs.79018	AA704459
194318	MGC5585	Hs.5152	H50655
50383	KIAA1598	Hs.23740	H17868
416316	PNN	Hs.44499	W86139
299609		Hs.238797	N70848
949944		Hs.180552	AA600192
435470	PDGFA	Hs.37040	AA701502
809495		Hs.306117	AA443127
427996		Hs.143375	AA001841
191603	TUBB	Hs.179661	H37989
160672		NA	NA
630013	MSH2	Hs.78934	AA219060
200136	TOPBP1	Hs.91417	R97785
35300	KIAA0869	Hs.21543	R43798
447715	H4FH	Hs.93758	AA702781
743987	FLJ23293	Hs.31236	AA629027
510273		Hs.240443	AA053165
284583	KIAA0978	Hs.3686	N64780
510571	KIAA1547	Hs.31305	AA057737
950894	DKFZP761C169	Hs.71252	AA608709
788745	WS-3	Hs.39913	AA449975
223661	FRZB	Hs.153684	H87275
241474	BRCA1	Hs.194143	H90415
52031		Hs.4983	H22936
796469	HSPC150	Hs.5199	AA460431
203268		Hs.29798	H54592
825210	FLJ11186	Hs.89278	AA504111
35147		Hs.118338	R25481
2321462	APEXL2	Hs.154149	AI674393
366067	CDR2	Hs.75124	AA074613
796303		Hs.69662	AA459724
810092	PSCD2L	Hs.8517	AA464957
230370	CRK	Hs.306088	H75530
826273	CCNE2	Hs.30464	AA520999
1605155	LOC51240	Hs.7870	AA988037
840467	FLJ11259	Hs.184465	AA485877
824694	PTP4A1	Hs.227777	AA482193
366421		Hs.288283	AA026375
186982		Hs.80305	H43437
811067		Hs.306117	AA485453
214982	MSE55	Hs.148101	H73234
813714	CFLAR	Hs.195175	AA453766
1555863		Hs.296322	AA975103
123614		Hs.19002	R00846
132203		Hs.60054	R26390
470914		Hs.325158	AA032084
190256		NA	NA
277808	FLJ10980	Hs.29716	N45467
588840	IFIT1	Hs.20315	AA157787
780958		Hs.21734	AA429809
462333	DKFZP434C245	Hs.59461	AA705518
897594	RNPS1	Hs.75104	AA496837
504128	FLJ13639	Hs.101821	AA131681
344274	PCF11	Hs.123654	W73749
301849	EIF4G3	Hs.25732	N92469
587992		Hs.71331	AA130595
545503	STAT1	Hs.21486	AA079495
127032	BIRC3	Hs.127799	R07870
264127	HP1-BP74	Hs.142442	N20589
308026	HSPC228	Hs.267288	AI734268
810008	KIAA0675	Hs.165662	AA454867
825842	AMD1	Hs.262476	AA504772
1850351		Hs.149338	AI249089
843069	PWP1	Hs.172589	AA485992
2009000		NA	NA
756596	DUSP4	Hs.2359	AA444049
823582	FLJ12788	Hs.20242	AA497041
1594172	HSPC150	Hs.5199	AA985450
322794	FLJ11729	Hs.286212	W15533
188232	KLF4	Hs.7934	H45668
293830	FLJ11058	Hs.180817	N63911
795746	FLJ23468	Hs.38178	AA460299
1878979		Hs.115315	AI278336
768496	EBI3	Hs.185705	AA425028
289496		Hs.293797	N63988
840404	MGAT2	Hs.172195	AA485653
813149	H2BFQ	Hs.2178	AA456298
2306697	NMB	Hs.83321	AI650675
795353	SSR3	Hs.28707	AA453486
144902	HSPC196	Hs.239938	R78498
243477		Hs.44522	N33610
413633	BRF1	Hs.85155	AA723035
260741	MAN1A2	Hs.239114	H97940
771004	KIAA1201	Hs.251278	AA427719
591095	NUCKS	Hs.118064	AA158345
773073	MAGEF1	Hs.306123	AA425302
299197		Hs.6349	N75498
29030		NA	NA
28823	AP3M2	Hs.77770	R14443
462655		Hs.272135	AA705010
591457		Hs.72363	AA159893
665774	EIF4E	Hs.79306	AA193254
279302		Hs.180545	N47285
796645		Hs.99542	AA461474
364921	CTNND1	Hs.166011	AA024656
143654		Hs.188554	R75884
147834	ZNF217	Hs.155040	R81830
1853497	FLJ12892	Hs.17731	AI243595
796542	ETV5	Hs.43697	AA460265
73953		Hs.251574	T54821
122239	RPS25	Hs.113029	T98662
713886	CNN2	Hs.169718	AA284568
811010		Hs.12705	AA485365
743588	PAPPA	Hs.75874	AA609463
298417	TFF3	Hs.82961	N74131
1754192		NA	NA
843276	DJ328E19.C1.1	Hs.218329	AA486041
896921	ME3	Hs.2838	AA779401
823609		Hs.43213	AA490554
488149	FLJ13181	Hs.301526	AA057266
490971	KIAA1547	Hs.31305	AA136692
280750	ZNF281	Hs.59757	N47468
810305		Hs.13996	AA463961
754628		Hs.25933	AA411392
703739	NCBP1	Hs.89563	AA278749
214006	H2BFL	Hs.239884	H70774
234004	DKFZP564A122	Hs.187991	H66150
845415	NASP	Hs.243886	AA644128
755240		Hs.98368	AA422008
45578	MAP2K6	Hs.118825	H07920
1456849		Hs.158357	AA865842
591683	GADD45A	Hs.80409	AA147214
824776	DHFR	Hs.83765	AA488803
566474		NA	NA
781505		Hs.103378	AA431133
73608		Hs.9927	T55704
197775		Hs.32204	R93719
33949	PRPSAP1	Hs.77498	R20005
1605099	ZNF42	Hs.169832	AA987906
268711		Hs.43712	N25936
589484	RUNX1	Hs.129914	AA146826
80318		Hs.9460	T64452
853368	TYMS	Hs.82962	AA663310
1394099	MGC5528	Hs.315167	AA843451
131307		Hs.268685	R22952
768049	SFPQ	Hs.180610	AA418910
1842604		Hs.155105	AI221390
897547	FLJ10624	Hs.306000	AA489592
773208	TRIP8	Hs.6685	AA425205
757147	DNAJB6	Hsp40)	homolog,
121994		Hs.18331	T98244
739270	RBM14	Hs.11170	AA421233
