UpperName	miRGate.name	Accession	Name
HSA-MIR-148A-5P	hsa-mir-148a-5p	MIMAT0004549	hsa-miR-148a-5p
HSA-MIR-590-3P	hsa-mir-590-3p	MIMAT0004801	hsa-miR-590-3p
HSA-MIR-1285-3P	hsa-mir-1285-3p	MIMAT0005876	hsa-miR-1285-3p
HSA-MIR-25-5P	hsa-mir-25-5p	MIMAT0004498	hsa-miR-25-5p
HSA-MIR-93-5P	hsa-mir-93-5p	MIMAT0000093	hsa-miR-93-5p
HSA-MIR-93-3P	hsa-mir-93-3p	MIMAT0004509	hsa-miR-93-3p
HSA-MIR-106B-5P	hsa-mir-106b-5p	MIMAT0000680	hsa-miR-106b-5p
HSA-MIR-106B-3P	hsa-mir-106b-3p	MIMAT0004672	hsa-miR-106b-3p
HSA-MIR-129-5P	hsa-mir-129-5p	MIMAT0000242	hsa-miR-129-5p
HSA-MIR-96-3P	hsa-mir-96-3p	MIMAT0004510	hsa-miR-96-3p
HSA-MIR-183-5P	hsa-mir-183-5p	MIMAT0000261	hsa-miR-183-5p
HSA-MIR-335-3P	hsa-mir-335-3p	MIMAT0004703	hsa-miR-335-3p
HSA-MIR-29A-5P	hsa-mir-29a-5p	MIMAT0004503	hsa-miR-29a-5p
HSA-MIR-29B-1-5P	hsa-mir-29b-1-5p	MIMAT0004514	hsa-miR-29b-1-5p
HSA-MIR-671-5P	hsa-mir-671-5p	MIMAT0003880	hsa-miR-671-5p
HSA-MIR-671-3P	hsa-mir-671-3p	MIMAT0004819	hsa-miR-671-3p
HSA-MIR-548V	hsa-mir-548v	MIMAT0015020	hsa-miR-548v
HSA-MIR-548H-3P	hsa-mir-548h-3p	MIMAT0022723	hsa-miR-548h-3p
HSA-MIR-548A-3P	hsa-mir-548a-3p	MIMAT0003251	hsa-miR-548a-3p
HSA-MIR-548D-3P	hsa-mir-548d-3p	MIMAT0003323	hsa-miR-548d-3p
HSA-MIR-30B-3P	hsa-mir-30b-3p	MIMAT0004589	hsa-miR-30b-3p
HSA-MIR-30D-3P	hsa-mir-30d-3p	MIMAT0004551	hsa-miR-30d-3p
HSA-MIR-491-5P	hsa-mir-491-5p	MIMAT0002807	hsa-miR-491-5p
