UpperName	miRGate.name	Accession	Name
HSA-MIR-210-5P	hsa-mir-210-5p	MIMAT0026475	hsa-miR-210-5p
HSA-MIR-2114-3P	hsa-mir-2114-3p	MIMAT0011157	hsa-miR-2114-3p
HSA-MIR-2114-5P	hsa-mir-2114-5p	MIMAT0011156	hsa-miR-2114-5p
HSA-MIR-211-5P	hsa-mir-211-5p	MIMAT0000268	hsa-miR-211-5p
HSA-MIR-2116-3P	hsa-mir-2116-3p	MIMAT0011161	hsa-miR-2116-3p
HSA-MIR-214-3P	hsa-mir-214-3p	MIMAT0000271	hsa-miR-214-3p
HSA-MIR-215-3P	hsa-mir-215-3p	MIMAT0026476	hsa-miR-215-3p
HSA-MIR-216A-3P	hsa-mir-216a-3p	MIMAT0022844	hsa-miR-216a-3p
HSA-MIR-216B-5P	hsa-mir-216b-5p	MIMAT0004959	hsa-miR-216b-5p
HSA-MIR-218-2-3P	hsa-mir-218-2-3p	MIMAT0004566	hsa-miR-218-2-3p
HSA-MIR-218-5P	hsa-mir-218-5p	MIMAT0000275	hsa-miR-218-5p
HSA-MIR-22-3P	hsa-mir-22-3p	MIMAT0000077	hsa-miR-22-3p
HSA-MIR-224-5P	hsa-mir-224-5p	MIMAT0000281	hsa-miR-224-5p
HSA-MIR-22-5P	hsa-mir-22-5p	MIMAT0004495	hsa-miR-22-5p
HSA-MIR-2276-3P	hsa-mir-2276-3p	MIMAT0011775	hsa-miR-2276-3p
HSA-MIR-2276-5P	hsa-mir-2276-5p	MIMAT0026921	hsa-miR-2276-5p
HSA-MIR-2277-5P	hsa-mir-2277-5p	MIMAT0017352	hsa-miR-2277-5p
HSA-MIR-2355-5P	hsa-mir-2355-5p	MIMAT0016895	hsa-miR-2355-5p
HSA-MIR-2392	hsa-mir-2392	MIMAT0019043	hsa-miR-2392
HSA-MIR-23A-3P	hsa-mir-23a-3p	MIMAT0000078	hsa-miR-23a-3p
HSA-MIR-23B-3P	hsa-mir-23b-3p	MIMAT0000418	hsa-miR-23b-3p
HSA-MIR-23B-5P	hsa-mir-23b-5p	MIMAT0004587	hsa-miR-23b-5p
HSA-MIR-23C	hsa-mir-23c	MIMAT0018000	hsa-miR-23c
HSA-MIR-24-1-5P	hsa-mir-24-1-5p	MIMAT0000079	hsa-miR-24-1-5p
HSA-MIR-24-2-5P	hsa-mir-24-2-5p	MIMAT0004497	hsa-miR-24-2-5p
HSA-MIR-24-3P	hsa-mir-24-3p	MIMAT0000080	hsa-miR-24-3p
HSA-MIR-2467-3P	hsa-mir-2467-3p	MIMAT0019953	hsa-miR-2467-3p
HSA-MIR-2467-5P	hsa-mir-2467-5p	MIMAT0019952	hsa-miR-2467-5p
HSA-MIR-25-5P	hsa-mir-25-5p	MIMAT0004498	hsa-miR-25-5p
HSA-MIR-2681-3P	hsa-mir-2681-3p	MIMAT0013516	hsa-miR-2681-3p
HSA-MIR-2682-3P	hsa-mir-2682-3p	MIMAT0013518	hsa-miR-2682-3p
HSA-MIR-2682-5P	hsa-mir-2682-5p	MIMAT0013517	hsa-miR-2682-5p
HSA-MIR-26A-1-3P	hsa-mir-26a-1-3p	MIMAT0004499	hsa-miR-26a-1-3p
HSA-MIR-27A-5P	hsa-mir-27a-5p	MIMAT0004501	hsa-miR-27a-5p
HSA-MIR-2861	hsa-mir-2861	MIMAT0013802	hsa-miR-2861
HSA-MIR-2909	hsa-mir-2909	MIMAT0013863	hsa-miR-2909
HSA-MIR-296-3P	hsa-mir-296-3p	MIMAT0004679	hsa-miR-296-3p
HSA-MIR-296-5P	hsa-mir-296-5p	MIMAT0000690	hsa-miR-296-5p
